일자,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80세이상,남성(명),여성(명),계(명),사망(명),추정사망(명)
2020-01-20,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-01-27,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,1,1,0,1,0,0,0,3,0,3,0,0
2020-01-31,0,0,2,0,0,1,1,0,0,1,3,4,0,0
2020-02-01,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2020-02-02,0,0,1,0,2,0,0,0,0,2,1,3,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2020-02-05,0,0,1,2,1,1,0,0,0,2,3,5,0,0
2020-02-06,0,0,1,0,1,1,0,0,0,2,1,3,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,1,0,1,0,1,0,1,2,3,0,0
2020-02-10,0,0,0,1,0,0,0,0,0,0,1,1,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,1,0,1,1,1,2,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,1,0,0,0,0,1,0,0,0,2,2,0,0
2020-02-19,0,0,8,3,4,11,4,4,0,13,21,34,0,0
2020-02-20,0,1,4,3,2,4,2,0,0,5,11,16,1,0
2020-02-21,0,1,16,7,17,16,10,6,1,34,40,74,0,0
2020-02-22,0,5,24,19,28,59,47,7,1,95,95,190,2,0
